WorkerId,HITId,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,prompt_10
APF1EAZT104LQ,35NNO802AVUSOFEIXC32EUQ8LQ0NII,"(0.2865047968601901, 0.8408964152537145, 0.5637006060569523, 0.3920140727990458, 2)","(0.3897446783710725, 0.7788007830714049, 0.5842727307212388, 0.27510420989562845, 2)","(0.08848885323457842, 0.13512001548070346, 0.11180443435764094, 0.03297321103884514, 2)","(0.1495348781221221, 0.1495348781221221, 0.1495348781221221, 0.0, 2)","(0.7226568811456053, 1.0, 0.8613284405728027, 0.1961112000573691, 2)","(0.7165313105737893, 1.0, 0.8582656552868946, 0.20044263254733696, 2)","(0.4168620196785084, 0.6892146754069327, 0.5530383475427205, 0.19258240973973403, 2)","(0.5562833249555186, 0.6042750794713536, 0.5802792022134361, 0.03393529505918707, 2)","(0.5231223689135341, 0.7016879391277371, 0.6124051540206357, 0.12626492558490549, 2)","(0.10573712634405641, 0.1880301546543197, 0.14688364049918806, 0.058189958362563694, 2)"
API7K4R8MF7VD,35NNO802AVUSOFEIXC32EUQ8LQ0NII,"(0.22710294619697544, 0.40209208440145217, 0.3145975152992138, 0.12373600625837544, 2)","(0.206928472563816, 0.5717644376692909, 0.3893464551165534, 0.2579779849468199, 2)","(0.05744990696182412, 0.0632708767532676, 0.06036039185754587, 0.00411604721261173, 2)","(0.041819388342048396, 0.18219633533937166, 0.11200786184071003, 0.09926149114407185, 2)","(0.03551851328486764, 0.06070639685254386, 0.04811245506870575, 0.017810523274441065, 2)","(0.27230882942629814, 0.38275853308890023, 0.3275336812575992, 0.07809973443987059, 2)","(0.24815628265423423, 0.41957161290043865, 0.3338639477773364, 0.12120894241642265, 2)","(0.0744231242969307, 0.2958422520410873, 0.185132688169009, 0.15656696671230355, 2)","(0.2546177625713488, 0.7416794460498953, 0.4981486043106221, 0.34440461924381605, 2)","(0.30869399812493076, 0.3909174093325437, 0.3498057037287372, 0.05814073163719309, 2)"
A1T2RXUZCV7JB9,35NNO802AVUSOFEIXC32EUQ8LQ0NII,"(0.31850824119516385, 0.44595853487580656, 0.38223338803548523, 0.09012096692579943, 2)","(0.2544174374445816, 1.0, 0.3976353643835253, 0.30405557519792703, 5)","(0.1833341725325537, 0.49582717346593747, 0.40940394617222975, 0.138689968180481, 5)","(0.1522726002536517, 0.24410332489112258, 0.2149470627775945, 0.0469237996837086, 3)","(0.10855926040543844, 0.2841185153608977, 0.19633888788316808, 0.12413913967906326, 2)","(0.3620851534930826, 0.47017872281588724, 0.4161319381544849, 0.0764336958708133, 2)","(0.30620490882364887, 0.533131325953753, 0.4196681173887009, 0.16046120838306374, 2)","(0.16161190504155135, 0.20362509433591355, 0.18261849968873245, 0.02970781104931758, 2)","(0.3954372034954288, 0.6313560400676099, 0.5133966217815193, 0.16681980914983013, 2)","(0.44443879959441634, 0.4753325436432835, 0.4598856716188499, 0.021845175913195496, 2)"
A2QBZSOSDTUM8E,3LCXHSGDLT4DON419PUXS92MGW1SEQ,"(0.37689906253041283, 0.48647815608835254, 0.4316886093093827, 0.07748412013109429, 2)","(0.42649937722961534, 0.5317279997267224, 0.4641867442524907, 0.05331544775639765, 3)","(0.2558058053378779, 0.5095280914895349, 0.28064520560437456, 0.1398686108143055, 3)","(0.05057398487423379, 0.3020683385432192, 0.1763211617087265, 0.17783336290946744, 2)","(0.3504780091673466, 0.4427127416405175, 0.3965953754039321, 0.06521980479270618, 2)","(0.16510194131340575, 0.837141557683923, 0.31563591507413596, 0.3526721467362842, 3)","(0.3576113329235395, 0.6463449222476637, 0.5019781275856017, 0.20416547896741993, 2)","(0.32041649669815536, 0.407383530445469, 0.3639000135718122, 0.06149497930240479, 2)","(0.3352651657543367, 0.8949324524211223, 0.6150988090877295, 0.39574453361035955, 2)","(0.23351495323553043, 0.32263864160302524, 0.2780767974192778, 0.06301996440901221, 2)"
A32V4AOAMSDK2I,3LCXHSGDLT4DON419PUXS92MGW1SEQ,"(0.07610462252028802, 0.29522124237959635, 0.1856629324499422, 0.15493884777319183, 2)","(0, 0.5749331319336042, 0.24379546024341822, 0.2885701792870845, 3)","(0.1499873608593657, 0.3207873972952881, 0.2353873790773269, 0.12077386399075012, 2)","(0.22046654564676035, 0.9839948356327152, 0.6022306906397378, 0.5398960314768373, 2)","(0.3563774714212461, 0.6172776828675018, 0.48682757714437397, 0.18448430872665153, 2)","(0.40030990230485936, 0.46353778178588506, 0.4319238420453722, 0.04470886234107904, 2)","(0.5198857940054409, 0.7461573901626148, 0.6330215920840279, 0.15999818003264166, 2)","(0.31239399369202553, 0.7145822491521745, 0.5134881214221, 0.28439004274945884, 2)","(0.24493309874295613, 0.2865047968601901, 0.2657189478015731, 0.029395629644136164, 2)","(0.10621255679580059, 0.1436324609411157, 0.12492250886845815, 0.026459867972502913, 2)"
APF1EAZT104LQ,3LCXHSGDLT4DON419PUXS92MGW1SEQ,"(0.2443019487607239, 0.8307018474412792, 0.5375018981010016, 0.414647344844125, 2)","(0.17095746935849984, 0.6175637907926896, 0.39426063007559475, 0.3157983584068946, 2)","(0.08872444253557525, 0.510029457493824, 0.2993769500146996, 0.2979076330248775, 2)","(0.6904426766124301, 0.9590965597935381, 0.8247696182029841, 0.18996698258946007, 2)","(0.12201992242919257, 0.3719447442473343, 0.24698233333826344, 0.17672353629444762, 2)","(0.3179799858803938, 0.44359435183239226, 0.380787168856393, 0.0888227699791067, 2)","(0.28777451759634026, 0.4992217875249571, 0.3934981525606487, 0.1495157984299073, 2)","(0.32654294136911965, 0.6350559875914853, 0.4807994644803025, 0.2181516670683535, 2)","(0.6913086465463161, 0.9146912192286945, 0.8029999328875053, 0.15795533194260658, 2)","(0.1944130841813964, 0.6175637907926896, 0.40598843748704305, 0.2992127341087247, 2)"
ALAEBEEHK525U,3Y7LTZE0YTKREVN1UH3ASKLSPZVUZE,"(0.37507598223414523, 0.5100323429521268, 0.44255416259313607, 0.0954285578279426, 2)","(0.6407117598241614, 0.8185086989520334, 0.7296102293880974, 0.12572142133153008, 2)","(0.27986603640975516, 0.4975307887399217, 0.3886984125748384, 0.1539122223979511, 2)","(0.5578717886362675, 0.6064265271883926, 0.5821491579123301, 0.034333384888947556, 2)","(0.31199123791299316, 0.5811117076371678, 0.44655147277508045, 0.19029690909807284, 2)","(0.4238684357424729, 0.5244170130469203, 0.4741427243946966, 0.07109858085063457, 2)","(0.22110178939494227, 0.41186293928035156, 0.3164823643376469, 0.13488850267091632, 2)","(0.3252937632000026, 0.5717839436314244, 0.4485388534157135, 0.174294878078954, 2)","(0.5085570764977476, 0.572616438025414, 0.5405867572615808, 0.0452968089346935, 2)","(0.42176541132491746, 0.7415853963914546, 0.5816754038581861, 0.22614688019952878, 2)"
A2YY9CKRJLL113,3Y7LTZE0YTKREVN1UH3ASKLSPZVUZE,"(0.3287419039455084, 0.35433453700545325, 0.3415382204754808, 0.018096724385106032, 2)","(0.5652855529491947, 0.5777083538604846, 0.5714969534048396, 0.008784246765703501, 2)","(0.21763007183473534, 0.49279197154651677, 0.35521102169062607, 0.19456884521037338, 2)","(0.6412824133653947, 0.6760948416145409, 0.6586886274899678, 0.024616104084541415, 2)","(0.1396392347355418, 0.20566771159631572, 0.17265347316592877, 0.046689183739672284, 2)","(0.3058591412499481, 0.3845138088845546, 0.34518647506725136, 0.05561724885640431, 2)","(0.04859223278648545, 0.4444100677327675, 0.24650115025962646, 0.27988547520509366, 2)","(0.3695705268335942, 0.5066462870737679, 0.43810840695368103, 0.09692719960212816, 2)","(0.2840933451965399, 0.40668827442526456, 0.3453908098109022, 0.0866877057967161, 2)","(0.19940128816652244, 0.6484729242853398, 0.4239371062259311, 0.31754159913815344, 2)"
A32V4AOAMSDK2I,3Y7LTZE0YTKREVN1UH3ASKLSPZVUZE,"(0.19222996094087996, 0.30559457110983373, 0.24891226602535685, 0.08016088459703666, 2)","(0.8065200983766951, 0.8931539818068694, 0.8498370400917823, 0.06125940645400113, 2)","(0.3910168249977073, 0.4187858959636777, 0.4049013604806925, 0.019635698387288156, 2)","(0.6867148544879181, 0.7327515569217301, 0.7097332057048241, 0.03255286447441568, 2)","(0.07321432418079293, 0.47725545399809716, 0.27523488908944505, 0.28570022277209, 2)","(0.24452946438904896, 0.3775214493947719, 0.3110254568919104, 0.09403953444100634, 2)","(0.5321686482214723, 0.860789505997226, 0.6964790771093492, 0.2323700369725755, 2)","(0.30277029197532096, 0.5437427682227519, 0.4232565300990364, 0.17039327203387267, 2)","(0.04836732182673403, 0.5181335948243558, 0.28325045832554496, 0.33217491720934933, 2)","(0.5125187650549453, 0.808024002452302, 0.6602713837536236, 0.20895375723981147, 2)"
ASI6KXF2GAUTQ,3OYHVNTV5TW1CV4IYUOR6Z5Q34UKO5,"(0.4996459946970383, 0.5639503296872997, 0.5352196318501131, 0.03221279289622398, 3)","(0.4968256443617784, 0.5095548417869415, 0.50319024307436, 0.009000901818395204, 2)","(0.3796777444953743, 0.42530437000536625, 0.40249105725037027, 0.03226289630077444, 2)","(0.7579212549754959, 0.8213345182637253, 0.7896278866196106, 0.04483994848827494, 2)","(0.2733168039921643, 0.320496010167845, 0.29690640708000465, 0.03336073661782208, 2)","(0.2696329047785195, 0.6905121871029426, 0.4933450399093309, 0.2105791116687405, 3)","(0.5894751765193604, 0.6070908003717135, 0.598282988445537, 0.012456127080830333, 2)","(0.07875251351368047, 0.24830721406672304, 0.16352986379020176, 0.11989327854311087, 2)","(0.26938727429070874, 0.382763868242448, 0.3260755712665784, 0.08016935841110855, 2)","(0.3570076048994532, 0.7845935325065408, 0.6354334959097302, 0.21702512096914883, 3)"
